query_id,doc_id,score_hybrid,rank
3394,112208,0.6888633009978317,2.0
3394,172703,0.17845943525781763,4.0
3394,87722,0.08358266957937072,8.0
3394,445971,0.9528487679598014,1.0
3394,345199,0.1476448706215595,5.0
3394,377429,0.09488070947468402,7.0
3394,387277,0.18280318807239962,3.0
3394,133093,0.1086126605715802,6.0
3394,418150,0.029897175714925617,10.0
3394,539263,0.06046470623442046,9.0
5505,100387,1.0,1.0
5505,141738,0.1550237863524086,6.0
5505,278824,0.23766775354698866,3.0
5505,70488,0.4193708181781509,2.0
5505,349160,0.05857888827663082,8.0
5505,478457,0.02095054386165196,9.0
5505,200338,0.21493113221881527,4.0
5505,408327,0.2142356735123037,5.0
5505,442142,0.07403890457755768,7.0
5505,593085,0.0,10.0
6792,558617,1.0,1.0
6792,400841,0.6163964319557252,6.0
6792,29306,0.6589640073277525,2.0
6792,136825,0.62839853501738,4.0
6792,259081,0.5646530391323983,7.0
6792,40447,0.31104734345850377,8.0
6792,480515,0.621882047827393,5.0
6792,156467,0.6346925129882924,3.0
6792,545434,0.00960496471262491,10.0
6792,585447,0.2804268006328443,9.0
6909,452175,0.43795363952608235,6.0
6909,13260,0.43014093762658334,7.0
6909,435963,0.6430948066895444,3.0
6909,375019,0.7808897656398417,2.0
6909,266900,0.4720627577029599,5.0
6909,464502,0.07818898068436975,9.0
6909,214003,0.007527558240677025,10.0
6909,79357,0.9061666337098195,1.0
6909,535697,0.5589156280277223,4.0
6909,330041,0.4248885978108196,8.0
4946,121690,1.0,1.0
4946,156816,0.6820458177127358,3.0
4946,79357,0.5520913850938284,4.0
4946,9938,0.5054715009600058,5.0
4946,350680,0.30234846904357127,7.0
4946,28119,0.257062380677441,8.0
4946,343489,0.4230491160556899,6.0
4946,100485,0.7290475104191408,2.0
4946,88105,0.0032691211467260786,10.0
4946,496935,0.0957640452220412,9.0
4125,283079,0.18255006034704263,9.0
4125,232199,0.29244164679296214,4.0
4125,363591,0.48524716086097264,3.0
4125,452987,0.21520401365723746,8.0
4125,571362,0.9392000199889329,1.0
4125,292769,0.25783137106002396,5.0
4125,340044,0.7233169354287656,2.0
4125,103593,0.004188339298635226,10.0
4125,276400,0.25228916606970064,6.0
4125,7632,0.2153634318137351,7.0
6009,62151,0.4500777655840156,7.0
6009,175831,0.6030524501428731,5.0
6009,303325,0.8523618809953446,2.0
6009,228983,0.9564933988664427,1.0
6009,158717,0.8240664232776924,3.0
6009,472585,0.010999488802240201,10.0
6009,178684,0.24291842568610156,8.0
6009,442048,0.6427540412506791,4.0
6009,125298,0.20966077041684633,9.0
6009,99857,0.45159766978775007,6.0
9598,528034,0.33359503579317806,4.0
9598,379311,0.6392943181803654,3.0
9598,322826,0.036303566293470084,9.0
9598,136270,0.08541538617408109,8.0
9598,574327,0.9217817478673366,1.0
9598,112208,0.3253850954515067,5.0
9598,17923,0.2329335419588465,6.0
9598,172703,0.1774369298017639,7.0
9598,297290,0.8281962934563813,2.0
9598,383978,0.015399997306275654,10.0
10645,22221,1.0,1.0
10645,340131,0.6744712024660942,5.0
10645,441176,0.9243831996106251,2.0
10645,183349,0.199227056125144,9.0
10645,102684,0.4760967257639799,6.0
10645,248799,0.7127988926294657,4.0
10645,317354,0.40590874249785963,7.0
10645,293679,0.7278786025071737,3.0
10645,415340,0.345714015414319,8.0
10645,487791,0.0,10.0
7441,125659,0.473028672085415,7.0
7441,192900,0.6768255050945889,4.0
7441,537418,0.9228788064460473,3.0
7441,231781,0.9766774346556091,1.0
7441,117576,0.9365923838310246,2.0
7441,404339,0.03119302059378176,10.0
7441,329662,0.5090215545784897,5.0
7441,504996,0.44047402064272945,8.0
7441,336018,0.4734544986562042,6.0
7441,180733,0.0862837315679082,9.0
5080,305901,0.41347078569877993,5.0
5080,553304,0.48610071375063846,4.0
5080,392434,0.3160250179676931,8.0
5080,514512,0.3593099686773273,7.0
5080,67063,0.9473490456363154,1.0
5080,488334,0.8053470128139163,2.0
5080,356928,0.8046967850332897,3.0
5080,271026,0.01834092252940627,10.0
5080,88912,0.19356606678656846,9.0
5080,167950,0.37370598967764357,6.0
9329,326991,1.0,1.0
9329,385574,0.2976497280464572,8.0
9329,340210,0.5238222389606939,4.0
9329,394924,0.5230306840432595,5.0
9329,265098,0.6148415758794642,3.0
9329,586018,0.6595445450554334,2.0
9329,179103,0.07980044396119597,9.0
9329,192900,0.3791997772211858,6.0
9329,209493,0.317207733235853,7.0
9329,209065,0.0,10.0
6479,404339,1.0,1.0
6479,272008,0.9423193006731405,2.0
6479,536120,0.30724285613118346,6.0
6479,9938,0.06149687444385463,9.0
6479,453839,0.2303862317965042,7.0
6479,104793,0.006692505383828715,10.0
6479,257656,0.5611314919311081,3.0
6479,491969,0.4746681886090327,4.0
6479,114439,0.1710580551780306,8.0
6479,340210,0.35841504164122256,5.0
8513,175821,1.0,1.0
8513,69790,0.6024665418905104,2.0
8513,167950,0.4508334276131467,6.0
8513,183612,0.026140707444538103,10.0
8513,449039,0.29186536112376327,8.0
8513,267113,0.5088420413229742,4.0
8513,167896,0.27932215393787624,9.0
8513,417840,0.5044089270907978,5.0
8513,232712,0.5672104461242841,3.0
8513,87667,0.3910294198178443,7.0
10109,93231,1.0,1.0
10109,28314,0.807305670494253,2.0
10109,535317,0.2820989233618082,5.0
10109,395357,0.29727046499753856,4.0
10109,124630,0.16018683936209094,6.0
10109,244749,0.07913776481613789,9.0
10109,305467,0.14436211558746256,7.0
10109,116420,0.11690931192039894,8.0
10109,474384,0.31275694978428853,3.0
10109,105818,0.0,10.0
4844,275257,1.0,1.0
4844,367137,0.5148001917319953,4.0
4844,192193,0.6908780925957194,2.0
4844,111033,0.5992575162352899,3.0
4844,235522,0.47087288094953494,5.0
4844,549741,0.17257557600018347,8.0
4844,140088,0.3931569251934759,6.0
4844,386423,0.12925778044669128,9.0
4844,144177,0.2735542563163389,7.0
4844,409432,0.0,10.0
8544,214003,1.0,1.0
8544,37517,0.08886709354437225,7.0
8544,336541,0.3378299133013037,4.0
8544,75437,0.25569660222760204,6.0
8544,13260,0.361315855398467,3.0
8544,100103,0.5537854953470754,2.0
8544,416307,0.08337990987962249,8.0
8544,12432,0.03633626870323728,10.0
8544,561884,0.32435675127549407,5.0
8544,111768,0.07779630282640097,9.0
4823,561929,1.0,1.0
4823,362919,0.692802598349071,3.0
4823,340131,0.2567972786398352,8.0
4823,104726,0.7081224688959799,2.0
4823,11572,0.5682479560432415,6.0
4823,7094,0.6859723432374247,4.0
4823,2860,0.2134415955821908,9.0
4823,459423,0.599010560060028,5.0
4823,252716,0.4542993363095644,7.0
4823,271118,0.0,10.0
1085,366597,1.0,1.0
1085,405702,0.7408913854455703,2.0
1085,485195,0.09391037447066998,9.0
1085,374334,0.17210226354680574,8.0
1085,108302,0.3071302554056661,5.0
1085,581889,0.29061179512169294,6.0
1085,94586,0.005177124853967026,10.0
1085,184175,0.6030905436682541,4.0
1085,401125,0.7137300137288609,3.0
1085,315275,0.26361401817690144,7.0
2388,104988,1.0,1.0
2388,300287,0.5203245365899539,2.0
2388,13657,0.2564778841991129,8.0
2388,123733,0.024079845242179945,10.0
2388,459423,0.48215709077362395,3.0
2388,565698,0.3543989591118304,5.0
2388,423403,0.29256269645437544,6.0
2388,157702,0.4650354501740081,4.0
2388,141320,0.28836636498847823,7.0
2388,429978,0.18621116636613486,9.0
6891,474351,1.0,1.0
6891,492506,0.43339918295017876,2.0
